Answer level,Average Precision_PV,Average Recall_PV,Average Precision_MV,Average Recall_MV,Average Precision_Threshold,Average Recall_Threshold, Total Workers, Total Answers,  Hours taken, Faults Located_PV, Faults Located_MV, Faults Located_Threshold Lines to Inspect_PV, Lines to Inspect_MV, Lines to Inspect_Threshold 
1,0.3875,0.4520833333333333,0.5125,0.5145833333333333,0.0,0.0,35.0,129.0,7.2,7.0,8.0,0.0,38,44,0
2,0.49025974025974023,0.69375,0.42083333333333334,0.3479166666666667,0.0,0.0,66.0,258.0,10.1,8.0,6.0,0.0,73,43,0
3,0.5729166666666666,0.51875,0.4395833333333333,0.4354166666666667,0.0,0.0,96.0,387.0,12.8,7.0,7.0,0.0,42,47,0
4,0.5708333333333333,0.4770833333333333,0.4458333333333333,0.4875,0.0,0.0,128.0,516.0,21.5,7.0,6.0,0.0,38,45,0
5,0.5604166666666666,0.5666666666666667,0.6833333333333333,0.5875,0.0,0.0,158.0,645.0,27.3,8.0,8.0,0.0,47,43,0
6,0.5294642857142857,0.4875,0.6895833333333332,0.6020833333333333,0.0,0.0,181.0,774.0,31.4,7.0,8.0,0.0,52,52,0
7,0.6125,0.5291666666666667,0.6833333333333332,0.5812499999999999,0.0,0.0,210.0,903.0,34.4,7.0,8.0,0.0,48,49,0
8,0.6666666666666666,0.5291666666666667,0.6666666666666666,0.5395833333333333,0.0,0.0,243.0,1032.0,40.2,7.0,8.0,0.0,40,50,5
9,0.6666666666666666,0.4875,0.7083333333333333,0.58125,0.125,0.125,267.0,1161.0,76.4,7.0,8.0,1.0,35,45,13
10,0.7291666666666666,0.5916666666666667,0.5708333333333333,0.5291666666666667,0.3125,0.20833333333333331,288.0,1290.0,77.5,8.0,7.0,3.0,43,45,24
11,0.7395833333333334,0.6020833333333333,0.7499999999999999,0.58125,0.41666666666666663,0.2333333333333333,309.0,1419.0,78.1,8.0,8.0,4.0,54,43,26
12,0.75,0.5604166666666667,0.7291666666666666,0.6,0.5416666666666666,0.36874999999999997,339.0,1548.0,85.0,8.0,8.0,6.0,53,52,35
13,0.7083333333333334,0.51875,0.75,0.5708333333333334,0.625,0.4666666666666667,363.0,1677.0,98.0,8.0,8.0,7.0,53,53,40
14,0.7395833333333334,0.6020833333333333,0.7291666666666666,0.55,0.6354166666666666,0.55,386.0,1806.0,108.1,8.0,8.0,7.0,54,54,41
15,0.7291666666666666,0.6229166666666667,0.5708333333333332,0.5020833333333332,0.5833333333333333,0.6125,417.0,1935.0,108.6,8.0,7.0,7.0,56,42,46
16,0.7083333333333333,0.6229166666666667,0.5916666666666666,0.5645833333333333,0.53125,0.6375,446.0,2064.0,123.5,8.0,7.0,7.0,57,43,49
17,0.7708333333333334,0.6541666666666667,0.6124999999999999,0.49166666666666664,0.5104166666666666,0.6625,460.0,2193.0,131.3,8.0,7.0,7.0,55,42,54
18,0.8333333333333334,0.5916666666666667,0.625,0.575,0.5208333333333333,0.7041666666666667,480.0,2322.0,138.0,8.0,7.0,7.0,53,42,54
19,0.8333333333333334,0.5916666666666667,0.6124999999999999,0.5333333333333332,0.5089285714285714,0.7041666666666667,490.0,2451.0,149.7,8.0,7.0,7.0,53,42,55
20,0.7916666666666666,0.6375,0.6666666666666666,0.5333333333333333,0.5364583333333333,0.7708333333333333,497.0,2580.0,154.7,8.0,7.0,8.0,44,41,56
